source,target,type,weight
0,1,undirected,1
0,2,undirected,1
0,3,undirected,1
0,4,undirected,1
0,5,undirected,1
0,6,undirected,1
0,7,undirected,2
0,8,undirected,1
0,9,undirected,4
0,140,undirected,1
0,141,undirected,1
0,73,undirected,2
0,142,undirected,1
0,49,undirected,2
0,191,undirected,1
0,192,undirected,1
0,183,undirected,1
0,81,undirected,2
0,193,undirected,1
0,202,undirected,1
0,203,undirected,1
0,204,undirected,1
0,205,undirected,1
0,206,undirected,1
1,0,undirected,1
1,2,undirected,1
1,3,undirected,1
1,4,undirected,1
1,5,undirected,1
1,6,undirected,1
1,7,undirected,1
1,8,undirected,1
2,0,undirected,1
2,1,undirected,1
2,3,undirected,1
2,4,undirected,1
2,5,undirected,1
2,6,undirected,1
2,7,undirected,1
2,8,undirected,1
3,0,undirected,1
3,1,undirected,1
3,2,undirected,1
3,4,undirected,1
3,5,undirected,1
3,6,undirected,1
3,7,undirected,1
3,8,undirected,1
3,9,undirected,1
3,148,undirected,1
3,430,undirected,1
3,431,undirected,1
4,0,undirected,1
4,1,undirected,1
4,2,undirected,1
4,3,undirected,1
4,5,undirected,1
4,6,undirected,1
4,7,undirected,1
4,8,undirected,1
4,9,undirected,4
4,230,undirected,1
4,231,undirected,1
4,232,undirected,1
4,233,undirected,1
4,24,undirected,1
4,32,undirected,2
4,234,undirected,1
4,66,undirected,1
4,315,undirected,1
4,88,undirected,1
4,316,undirected,1
4,144,undirected,1
4,317,undirected,1
4,215,undirected,1
4,318,undirected,1
4,319,undirected,1
5,0,undirected,1
5,1,undirected,1
5,2,undirected,1
5,3,undirected,1
5,4,undirected,1
5,6,undirected,2
5,7,undirected,7
5,8,undirected,2
5,9,undirected,28
5,13,undirected,3
5,14,undirected,1
5,15,undirected,1
5,16,undirected,2
5,17,undirected,1
5,18,undirected,1
5,19,undirected,1
5,20,undirected,1
5,21,undirected,1
5,37,undirected,1
5,64,undirected,1
5,49,undirected,1
5,65,undirected,2
5,66,undirected,1
5,67,undirected,1
5,68,undirected,1
5,69,undirected,1
5,86,undirected,1
5,87,undirected,1
5,88,undirected,1
5,89,undirected,1
5,90,undirected,1
5,132,undirected,1
5,113,undirected,2
5,133,undirected,1
5,134,undirected,1
5,135,undirected,1
5,43,undirected,2
5,136,undirected,1
5,137,undirected,1
5,138,undirected,1
5,59,undirected,1
5,139,undirected,1
5,45,undirected,1
5,249,undirected,1
5,267,undirected,1
5,268,undirected,2
5,269,undirected,1
5,270,undirected,1
5,22,undirected,1
5,291,undirected,1
5,309,undirected,1
5,310,undirected,1
5,311,undirected,1
5,308,undirected,1
5,183,undirected,3
5,312,undirected,1
5,313,undirected,1
5,314,undirected,1
5,320,undirected,1
5,321,undirected,1
5,322,undirected,1
5,323,undirected,1
5,345,undirected,1
5,346,undirected,1
5,264,undirected,1
5,33,undirected,1
5,236,undirected,2
5,394,undirected,1
5,11,undirected,1
5,395,undirected,1
5,396,undirected,1
5,397,undirected,1
5,398,undirected,1
5,420,undirected,1
5,301,undirected,1
5,421,undirected,1
5,422,undirected,1
5,451,undirected,1
5,218,undirected,1
5,464,undirected,1
5,349,undirected,1
5,465,undirected,1
5,466,undirected,1
5,124,undirected,1
6,0,undirected,1
6,1,undirected,1
6,2,undirected,1
6,3,undirected,1
6,4,undirected,1
6,5,undirected,2
6,7,undirected,2
6,8,undirected,2
6,9,undirected,3
6,37,undirected,1
6,64,undirected,1
6,49,undirected,1
6,65,undirected,1
6,472,undirected,1
6,142,undirected,1
6,473,undirected,1
6,474,undirected,1
6,475,undirected,1
7,0,undirected,2
7,1,undirected,1
7,2,undirected,1
7,3,undirected,1
7,4,undirected,1
7,5,undirected,7
7,6,undirected,2
7,8,undirected,2
7,9,undirected,64
7,10,undirected,1
7,11,undirected,2
7,12,undirected,1
7,13,undirected,2
7,14,undirected,1
7,15,undirected,1
7,16,undirected,1
7,17,undirected,1
